"keyword","avg_monthly","chg_3m","yoy","competition","comp_index","bid_low","bid_high"
"pharmacie à proximité","110000","23%","49%","Low","7","1.02","2.93"
"pharmacie de garde","90500","0%","49%","Low","4","1.14","3.05"
"parapharmacie de garde","90500","0%","49%","Low","4","1.14","3.05"
"pharmacie de garde rabat","49500","-18%","22%","Low","0","2.20","4.35"
"parapharmacies","40500","0%","22%","Low","24","0.36","2.06"
"pharmacie de garde agadir","27100","-18%","22%","Low","0","",""
"medicament ma","18100","-18%","-33%","Low","0","0.70","6.59"
"pharmacie de garde à proximité","18100","0%","123%","Low","7","0.89","2.68"
"pharma casablanca","9900","-19%","-19%","Medium","36","0.49","2.14"
"pharmacie permanence","9900","-18%","22%","Low","5","1.13","2.90"
"pharmacie casablanca","9900","-19%","-19%","Medium","36","0.49","2.14"
"pharmacie autour de moi","8100","22%","50%","Low","19","0.64","2.42"
"pharmacie marrakech","6600","22%","50%","Low","8","0.27","11.55"
"medicament maroc","6600","0%","0%","Low","0","2.57","4.71"
"para pharma","5400","0%","-19%","Low","30","0.14","1.89"
"para pharm","5400","0%","-19%","Low","30","0.14","1.89"
"pharmacie de garde mohammedia","5400","0%","0%","Low","13","0.44","1.92"
"permanence pharmacie","4400","50%","50%","Low","4","1.17","3.12"
"pharmacie tanger","4400","-19%","-19%","Low","6","0.74","8.73"
"pharmacie en permanence","4400","50%","50%","Low","4","1.17","3.12"
"pharmacie rabat","3600","-19%","21%","Low","3","1.43","3.26"
"parapharmacie marrakech","2900","0%","-19%","Medium","34","0.39","2.20"
"parapharmacie mohammedia","2900","0%","21%","Low","16","0.47","1.88"
"eucerine ecran","2900","52%","0%","Low","7","0.20","1.78"
"pharmacie maroc","2900","-19%","-19%","Low","27","0.32","1.82"
"pharmacie agadir","2900","0%","26%","Low","0","",""
"eucerin ecran","2900","52%","0%","Low","7","0.20","1.78"
"parapharmacie rabat","2400","0%","0%","Medium","34","0.48","2.22"
"pharmacie de garde autour de moi","2400","-33%","26%","Low","13","1.09","2.63"
"parapharmacie tanger","2400","0%","21%","Low","23","0.49","2.30"
"pharmacies en ligne","1900","21%","21%","Medium","35","0.40","1.74"
"en ligne pharmacie","1900","21%","21%","Medium","35","0.40","1.74"
"pharmacie fes","1900","-16%","0%","Low","1","",""
"parapharmacie en ligne","1900","21%","21%","Medium","35","0.40","1.74"
"parapharmacie agadir","1900","0%","0%","Low","13","0.25","1.80"
"para pharmacie","1900","26%","85%","Low","4","0.25","1.50"
"pharmacie en garde","1600","0%","19%","Low","5","1.10","3.12"
"pharmacie garde","1600","0%","19%","Low","5","1.10","3.12"
"pharmacie el jadida","1600","0%","0%","Low","12","0.31","2.04"
"parapharmacie el jadida","1600","0%","0%","Low","12","0.31","2.04"
"garde pharmacie","1600","0%","19%","Low","5","1.10","3.12"
"pharmacie la santé","1600","26%","85%","Low","1","",""
"parapharmacie salé","1600","-19%","0%","Low","9","0.46","2.06"
"parapharmacie vita","1300","0%","0%","Low","5","0.89","2.62"
"pharmacie vita","1300","0%","0%","Low","5","0.89","2.62"
"parapharmacie fes","1300","0%","30%","Low","16","0.38","1.97"
"livraison medicaments pharmacie","1300","-19%","48%","Low","3","",""
"pharmacie ouverte","1300","23%","23%","Low","11","1.10","3.23"
"pharmacie a proximité","1300","30%","0%","Low","17","0.79","2.70"
"parapharmacie oujda","1300","30%","30%","Low","5","0.29","1.70"
"livraison medicament pharmacie","1300","-19%","48%","Low","3","",""
"pharmacie ouvert","1300","23%","23%","Low","11","1.10","3.23"
"spiruline prix maroc","1000","0%","-45%","Low","2","0.37","1.23"
"pharmacie ouvert actuellement","1000","0%","0%","Low","11","1.05","2.78"
"pharmacie ouverte à proximité","1000","0%","48%","Low","10","1.09","2.91"
"mineral vichy 89","1000","-19%","0%","Low","7","0.29","1.60"
"ecran eucerin","1000","46%","19%","Low","5","0.20","1.78"
"vichy mineral 89","1000","-19%","0%","Low","7","0.29","1.60"
